Team,Season,Score,Numot,Fgm,Fga,Fgm3,Fga3,Ftm,Fta,Or,Dr,Ast,To,Stl,Blk,Pf,Scorediff,Win,Loss,Count
Abilene Chr,2017,67.88,0.16,24.44,53.32,7.08,19.08,11.92,18.56,7.56,22.88,13.6,14.48,7,2.76,22.16,-4.76,0.36,0.64,25
Air Force,2017,71.5483871,0.096774194,24.22580645,56.61290323,7.935483871,21.87096774,15.16129032,21.16129032,9.451612903,25.25806452,14.48387097,12.48387097,5.903225806,1.806451613,17.90322581,-4.064516129,0.322580645,0.677419355,31
Akron,2017,76.66666667,0,26.27272727,56.3030303,10.09090909,27.3030303,14.03030303,20.6969697,9.818181818,24.57575758,14.51515152,11.63636364,5.424242424,3.121212121,18.36363636,5.484848485,0.757575758,0.242424242,33
Alabama,2017,68.66666667,0.121212121,23.75757576,56.06060606,6.606060606,20.78787879,14.54545455,22.39393939,12.3030303,26.87878788,11.42424242,13.87878788,6,4.212121212,19.72727273,4.151515152,0.575757576,0.424242424,33
Alabama A&M,2017,61.86206897,0.103448276,21.72413793,53.96551724,4.310344828,15.75862069,14.10344828,21.17241379,10.31034483,21.86206897,11.37931034,13.24137931,3.551724138,1.793103448,18.13793103,-15.89655172,0.068965517,0.931034483,29
Alabama St,2017,65.56666667,0.133333333,23.1,59.33333333,6.366666667,21.63333333,13,20.5,13.9,24.5,9.466666667,15.56666667,4.866666667,3,20.43333333,-9,0.233333333,0.766666667,30
Albany NY,2017,71.03030303,0,25.6969697,54.96969697,5.393939394,14.63636364,14.24242424,18.66666667,10.63636364,24.45454545,12.57575758,11.87878788,5.121212121,1.696969697,17.84848485,4.787878788,0.606060606,0.393939394,33
Alcorn St,2017,67.65517241,0.034482759,24.34482759,57.62068966,6.551724138,20.48275862,12.4137931,18.89655172,11.79310345,25.89655172,12.4137931,14.06896552,6.310344828,3.275862069,19.24137931,-1.379310345,0.517241379,0.482758621,29
American Univ,2017,61.5,0.033333333,23.06666667,51.4,5.6,17.63333333,9.766666667,15.8,6.8,22.13333333,11.3,13.2,6.966666667,2.433333333,18.3,-6.8,0.266666667,0.733333333,30
Appalachian St,2017,70.46428571,0.035714286,23.89285714,58.82142857,7.964285714,24.39285714,14.71428571,21.78571429,11.21428571,25.39285714,12.75,13.92857143,5.035714286,2.785714286,21.85714286,-7.071428571,0.25,0.75,28
Arizona,2017,76.26470588,0,26.20588235,55.08823529,6.735294118,16.94117647,17.11764706,22.58823529,10.29411765,26.47058824,13.79411765,11.44117647,5.5,3.235294118,16.97058824,10.82352941,0.882352941,0.117647059,34
Arizona St,2017,78.57575758,0.03030303,26.90909091,62.03030303,9.939393939,27.15151515,14.81818182,19.78787879,9.212121212,23.42424242,13.03030303,10.42424242,5.878787879,3.212121212,16.90909091,-3.090909091,0.454545455,0.545454545,33
Ark Little Rock,2017,66.36666667,0.066666667,23.6,54.43333333,6.2,18.33333333,12.96666667,17.6,9.5,23.16666667,11.4,12.9,5.733333333,3.633333333,18.23333333,-2.266666667,0.433333333,0.566666667,30
Ark Pine Bluff,2017,60.66666667,0.066666667,21.36666667,53.56666667,6.533333333,18.96666667,11.4,17.56666667,10.46666667,20.6,10.03333333,17.93333333,8.5,2.7,22.46666667,-12.53333333,0.2,0.8,30
Arkansas,2017,79.79411765,0,27.73529412,60.17647059,6.529411765,17.94117647,17.79411765,23.35294118,11.32352941,24.94117647,14.08823529,11.73529412,7.529411765,4.735294118,20.58823529,5.794117647,0.735294118,0.264705882,34
