,T1,T2,Season,T1Seed,T2Seed
0,1326,1314,2011,1,2
1,1326,1393,2011,1,3
2,1326,1246,2011,1,4
3,1326,1452,2011,1,5
4,1326,1462,2011,1,6
5,1326,1449,2011,1,7
6,1326,1206,2011,1,8
7,1326,1437,2011,1,9
8,1326,1208,2011,1,10
9,1326,1266,2011,1,11
10,1326,1155,2011,1,12
11,1326,1412,2011,1,12
12,1326,1343,2011,1,13
13,1326,1232,2011,1,14
14,1326,1254,2011,1,15
15,1326,1106,2011,1,16
16,1326,1427,2011,1,16
17,1326,1181,2011,1,1
18,1326,1361,2011,1,2
19,1326,1163,2011,1,3
20,1326,1400,2011,1,4
21,1326,1112,2011,1,5
22,1326,1153,2011,1,6
23,1326,1396,2011,1,7
24,1326,1276,2011,1,8
25,1326,1397,2011,1,9
26,1326,1336,2011,1,10
27,1326,1281,2011,1,11
28,1326,1272,2011,1,12
29,1326,1324,2011,1,13
30,1326,1137,2011,1,14
31,1326,1294,2011,1,15
32,1326,1214,2011,1,16
33,1326,1338,2011,1,1
34,1326,1196,2011,1,2
35,1326,1140,2011,1,3
36,1326,1458,2011,1,4
37,1326,1243,2011,1,5
38,1326,1385,2011,1,6
39,1326,1417,2011,1,7
40,1326,1139,2011,1,8
41,1326,1330,2011,1,9
42,1326,1277,2011,1,10
43,1326,1211,2011,1,11
44,1326,1429,2011,1,12
45,1326,1125,2011,1,13
46,1326,1459,2011,1,14
47,1326,1364,2011,1,15
48,1326,1114,2011,1,16
49,1326,1421,2011,1,16
50,1326,1242,2011,1,1
51,1326,1323,2011,1,2
52,1326,1345,2011,1,3
53,1326,1257,2011,1,4
54,1326,1435,2011,1,5
55,1326,1207,2011,1,6
56,1326,1401,2011,1,7
57,1326,1424,2011,1,8
58,1326,1228,2011,1,9
59,1326,1199,2011,1,10
60,1326,1425,2011,1,11
61,1326,1433,2011,1,11
62,1326,1350,2011,1,12
63,1326,1287,2011,1,13
64,1326,1389,2011,1,14
65,1326,1103,2011,1,15
66,1326,1131,2011,1,16
67,1314,1393,2011,2,3
68,1314,1246,2011,2,4
69,1314,1452,2011,2,5
70,1314,1462,2011,2,6
71,1314,1449,2011,2,7
72,1314,1206,2011,2,8
73,1314,1437,2011,2,9
74,1314,1208,2011,2,10
75,1314,1266,2011,2,11
76,1314,1155,2011,2,12
77,1314,1412,2011,2,12
78,1314,1343,2011,2,13
79,1314,1232,2011,2,14
80,1314,1254,2011,2,15
81,1314,1106,2011,2,16
82,1314,1427,2011,2,16
83,1314,1181,2011,2,1
84,1314,1361,2011,2,2
85,1314,1163,2011,2,3
86,1314,1400,2011,2,4
87,1314,1112,2011,2,5
88,1314,1153,2011,2,6
89,1314,1396,2011,2,7
90,1314,1276,2011,2,8
91,1314,1397,2011,2,9
92,1314,1336,2011,2,10
93,1314,1281,2011,2,11
94,1314,1272,2011,2,12
95,1314,1324,2011,2,13
96,1314,1137,2011,2,14
97,1314,1294,2011,2,15
98,1314,1214,2011,2,16
99,1314,1338,2011,2,1
100,1314,1196,2011,2,2
101,1314,1140,2011,2,3
102,1314,1458,2011,2,4
103,1314,1243,2011,2,5
104,1314,1385,2011,2,6
105,1314,1417,2011,2,7
106,1314,1139,2011,2,8
107,1314,1330,2011,2,9
108,1314,1277,2011,2,10
109,1314,1211,2011,2,11
110,1314,1429,2011,2,12
111,1314,1125,2011,2,13
112,1314,1459,2011,2,14
113,1314,1364,2011,2,15
114,1314,1114,2011,2,16
115,1314,1421,2011,2,16
116,1314,1242,2011,2,1
117,1314,1323,2011,2,2
118,1314,1345,2011,2,3
119,1314,1257,2011,2,4
120,1314,1435,2011,2,5
121,1314,1207,2011,2,6
122,1314,1401,2011,2,7
123,1314,1424,2011,2,8
124,1314,1228,2011,2,9
125,1314,1199,2011,2,10
126,1314,1425,2011,2,11
127,1314,1433,2011,2,11
128,1314,1350,2011,2,12
129,1314,1287,2011,2,13
130,1314,1389,2011,2,14
131,1314,1103,2011,2,15
132,1314,1131,2011,2,16
133,1393,1246,2011,3,4
134,1393,1452,2011,3,5
135,1393,1462,2011,3,6
136,1393,1449,2011,3,7
137,1393,1206,2011,3,8
138,1393,1437,2011,3,9
139,1393,1208,2011,3,10
140,1393,1266,2011,3,11
141,1393,1155,2011,3,12
142,1393,1412,2011,3,12
143,1393,1343,2011,3,13
144,1393,1232,2011,3,14
145,1393,1254,2011,3,15
146,1393,1106,2011,3,16
147,1393,1427,2011,3,16
148,1393,1181,2011,3,1
149,1393,1361,2011,3,2
150,1393,1163,2011,3,3
151,1393,1400,2011,3,4
152,1393,1112,2011,3,5
153,1393,1153,2011,3,6
154,1393,1396,2011,3,7
155,1393,1276,2011,3,8
156,1393,1397,2011,3,9
157,1393,1336,2011,3,10
158,1393,1281,2011,3,11
159,1393,1272,2011,3,12
160,1393,1324,2011,3,13
161,1393,1137,2011,3,14
162,1393,1294,2011,3,15
163,1393,1214,2011,3,16
164,1393,1338,2011,3,1
165,1393,1196,2011,3,2
166,1393,1140,2011,3,3
167,1393,1458,2011,3,4
168,1393,1243,2011,3,5
169,1393,1385,2011,3,6
170,1393,1417,2011,3,7
171,1393,1139,2011,3,8
172,1393,1330,2011,3,9
173,1393,1277,2011,3,10
174,1393,1211,2011,3,11
175,1393,1429,2011,3,12
176,1393,1125,2011,3,13
177,1393,1459,2011,3,14
178,1393,1364,2011,3,15
179,1393,1114,2011,3,16
180,1393,1421,2011,3,16
181,1393,1242,2011,3,1
182,1393,1323,2011,3,2
183,1393,1345,2011,3,3
184,1393,1257,2011,3,4
185,1393,1435,2011,3,5
186,1393,1207,2011,3,6
187,1393,1401,2011,3,7
188,1393,1424,2011,3,8
189,1393,1228,2011,3,9
