,T1,T2,Season,1Seed-2Seed,ScoreAvgDiff,NumotAvgDiff,FgmAvgDiff,FgaAvgDiff,Fgm3AvgDiff,Fga3AvgDiff,FtmAvgDiff,FtaAvgDiff,OrAvgDiff,DrAvgDiff,AstAvgDiff,ToAvgDiff,StlAvgDiff,BlkAvgDiff,PfAvgDiff,ScorediffAvgDiff,WinAvgDiff,T1 WL
0,Ohio St,North Carolina,2011,-1,0.42156862,-0.000891265,-0.46791444,-6.5026738,2.139928699,2.15508021,-0.7825312,-2.51604279,-2.97593583,-5.03921568,0.28431373,-3.33868093,1.055258467,-2.009803921,-1.97771836,8.355614971,0.153297683,1
1,Ohio St,Syracuse,2011,-2,3.48217468,-0.031194296,0.56238859,-1.74509804,1.018716577,-0.20855615,1.33868093,0.57486631,-1.40017826,-1.94830659,-0.68538324,-1.94474153,-1.58110517,-3.494652406,-1.09893048,6.99197861,0.153297683,1
2,North Carolina,Syracuse,2011,-1,3.06060606,-0.030303031,1.03030303,4.75757576,-1.121212122,-2.36363636,2.12121213,3.0909091,1.57575757,3.09090909,-0.96969697,1.3939394,-2.636363637,-1.484848485,0.87878788,-1.363636361,0,0
3,Ohio St,Kentucky,2011,-3,0.66399287,-0.000891265,0.65329768,-2.59358289,0.018716577,-0.66310161,-0.66131907,-0.54634582,-0.88502674,-2.70588235,2.92067736,-0.49019608,1.691622103,-2.949197861,-1.82620321,4.6889483,0.183600713,1
4,North Carolina,Kentucky,2011,-2,0.24242425,0,1.12121212,3.90909091,-2.121212122,-2.81818182,0.12121213,1.96969697,2.09090909,2.33333333,2.63636363,2.84848485,0.636363636,-0.93939394,0.15151515,-3.666666671,0.03030303,0
5,Syracuse,Kentucky,2011,-1,-2.81818181,0.030303031,0.09090909,-0.84848485,-1,-0.45454546,-2,-1.12121213,0.51515152,-0.75757576,3.6060606,1.45454545,3.272727273,0.545454545,-0.72727273,-2.30303031,0.03030303,0
6,Ohio St,West Virginia,2011,-4,7.53984819,0.029411765,3.76375712,0.16888045,1.124288425,-0.79506641,-1.11195446,-1.5512334,-3.18121442,0.26185959,0.55313093,-1.9203036,2.563567362,-0.966793169,-3.60626186,11.81309298,0.296015181,1
7,North Carolina,West Virginia,2011,-3,7.11827957,0.03030303,4.23167156,6.67155425,-1.015640274,-2.95014662,-0.32942326,0.96480939,-0.20527859,5.30107527,0.2688172,1.41837733,1.508308895,1.043010752,-1.6285435,3.457478006,0.142717498,1
8,Syracuse,West Virginia,2011,-2,4.05767351,0.060606061,3.20136853,1.91397849,0.105571848,-0.58651026,-2.45063539,-2.12609971,-1.78103616,2.21016618,1.23851417,0.02443793,4.144672532,2.527859237,-2.50733138,4.821114367,0.142717498,1
9,Kentucky,West Virginia,2011,-1,6.87585532,0.03030303,3.11045944,2.76246334,1.105571848,-0.1319648,-0.45063539,-1.00488758,-2.29618768,2.96774194,-2.36754643,-1.43010752,0.871945259,1.982404692,-1.78005865,7.124144677,0.112414468,1
10,Ohio St,Xavier,2011,-5,4.47533206,-0.099620493,2.82827324,2.3946869,1.866223909,1.33396584,-3.04743833,-2.87381405,0.9800759,-1.96394687,2.29506641,-1.79127135,1.660341556,0.226755218,-2.89658444,9.200189751,0.166982923,1
11,North Carolina,Xavier,2011,-4,4.05376344,-0.098729228,3.29618768,8.8973607,-0.27370479,-0.82111437,-2.26490713,-0.35777126,3.95601173,3.07526881,2.01075268,1.54740958,0.605083089,2.236559139,-0.91886608,0.84457478,0.01368524,1
12,Syracuse,Xavier,2011,-3,0.99315738,-0.068426197,2.26588465,4.13978494,0.847507332,1.54252199,-4.38611926,-3.44868036,2.38025416,-0.01564028,2.98044965,0.15347018,3.241446726,3.721407624,-1.79765396,2.208211141,0.01368524,1
