,Season,Score,Numot,Fgm,Fga,Fgm3,Fga3,Ftm,Fta,Or,Dr,Ast,To,Stl,Blk,Pf,Scorediff,Win,Loss,Count
,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,
Team,,,,,,,,,,,,,,,,,,,,
Air Force,2004,60.17857142857143,0.0,20.285714285714285,42.035714285714285,8.464285714285714,22.214285714285715,11.142857142857142,15.714285714285714,6.142857142857143,15.357142857142858,13.25,10.785714285714286,7.785714285714286,2.357142857142857,16.642857142857142,9.75,0.7857142857142857,0.21428571428571427,28
Akron,2004,71.75,0.10714285714285714,24.857142857142858,53.285714285714285,6.178571428571429,17.035714285714285,15.857142857142858,24.571428571428573,11.214285714285714,22.357142857142858,15.107142857142858,14.607142857142858,7.392857142857143,2.5357142857142856,19.464285714285715,-0.39285714285714285,0.4642857142857143,0.5357142857142857,28
Alabama,2004,72.20689655172414,0.13793103448275862,24.896551724137932,55.0,7.137931034482759,18.620689655172413,15.275862068965518,21.862068965517242,11.310344827586206,24.0,11.862068965517242,13.275862068965518,6.448275862068965,3.103448275862069,18.344827586206897,4.758620689655173,0.5862068965517241,0.41379310344827586,29
Alabama A&M,2004,69.79310344827586,0.0,23.620689655172413,57.89655172413793,6.206896551724138,19.551724137931036,16.344827586206897,23.724137931034484,12.517241379310345,23.96551724137931,12.344827586206897,16.17241379310345,7.206896551724138,2.5517241379310347,21.517241379310345,-3.586206896551724,0.4482758620689655,0.5517241379310345,29
Alabama St,2004,61.43333333333333,0.06666666666666667,20.566666666666666,48.733333333333334,5.533333333333333,16.566666666666666,14.766666666666667,22.466666666666665,11.7,22.766666666666666,10.266666666666667,17.2,7.066666666666666,3.1333333333333333,18.7,0.8333333333333334,0.5333333333333333,0.4666666666666667,30
Albany NY,2004,57.892857142857146,0.14285714285714285,21.357142857142858,53.32142857142857,4.821428571428571,16.25,10.357142857142858,14.035714285714286,10.214285714285714,22.5,11.214285714285714,15.75,6.714285714285714,2.25,16.928571428571427,-7.857142857142857,0.17857142857142858,0.8214285714285714,28
Alcorn St,2004,63.96551724137931,0.0,22.275862068965516,52.41379310344828,5.586206896551724,15.89655172413793,13.827586206896552,20.413793103448278,11.344827586206897,21.82758620689655,11.344827586206897,19.310344827586206,6.172413793103448,2.1379310344827585,19.448275862068964,-8.379310344827585,0.3793103448275862,0.6206896551724138,29
American Univ,2004,67.48387096774194,0.06451612903225806,23.419354838709676,53.0,6.645161290322581,18.06451612903226,14.0,20.70967741935484,11.0,23.419354838709676,13.258064516129032,14.225806451612904,7.741935483870968,2.3225806451612905,18.193548387096776,2.4516129032258065,0.5806451612903226,0.41935483870967744,31
Appalachian St,2004,68.93103448275862,0.034482758620689655,25.24137931034483,61.93103448275862,6.655172413793103,20.413793103448278,11.793103448275861,18.413793103448278,13.344827586206897,21.06896551724138,14.310344827586206,16.620689655172413,10.379310344827585,4.448275862068965,20.379310344827587,-4.655172413793103,0.27586206896551724,0.7241379310344828,29
Arizona,2004,87.51724137931035,0.0,31.517241379310345,65.0,7.379310344827586,19.20689655172414,17.103448275862068,21.75862068965517,13.89655172413793,25.689655172413794,18.896551724137932,14.96551724137931,6.9655172413793105,4.551724137931035,16.06896551724138,9.10344827586207,0.6896551724137931,0.3103448275862069,29
Arizona St,2004,74.07407407407408,0.07407407407407407,23.925925925925927,55.48148148148148,5.962962962962963,17.703703703703702,20.25925925925926,27.555555555555557,12.11111111111111,23.48148148148148,15.777777777777779,15.11111111111111,5.555555555555555,3.185185185185185,20.925925925925927,-2.5185185185185186,0.37037037037037035,0.6296296296296297,27
Ark Little Rock,2004,69.88461538461539,0.11538461538461539,22.96153846153846,52.73076923076923,5.0,15.538461538461538,18.96153846153846,26.5,12.692307692307692,22.846153846153847,11.538461538461538,15.615384615384615,6.153846153846154,3.076923076923077,20.73076923076923,2.9615384615384617,0.5384615384615384,0.46153846153846156,26
Ark Pine Bluff,2004,52.22222222222222,0.0,18.925925925925927,55.0,5.037037037037037,18.037037037037038,9.333333333333334,14.62962962962963,10.814814814814815,23.85185185185185,9.962962962962964,19.22222222222222,5.518518518518518,2.4444444444444446,21.037037037037038,-22.14814814814815,0.037037037037037035,0.9629629629629629,27
Arkansas,2004,68.85714285714286,0.07142857142857142,24.214285714285715,58.17857142857143,6.428571428571429,20.464285714285715,14.0,20.607142857142858,13.035714285714286,21.5,12.964285714285714,13.785714285714286,7.857142857142857,3.857142857142857,19.821428571428573,0.25,0.42857142857142855,0.5714285714285714,28
Arkansas St,2004,72.8076923076923,0.11538461538461539,24.615384615384617,56.0,7.038461538461538,19.76923076923077,16.53846153846154,22.53846153846154,12.653846153846153,23.846153846153847,11.192307692307692,15.73076923076923,6.538461538461538,2.8846153846153846,21.0,2.8461538461538463,0.5769230769230769,0.4230769230769231,26
Army,2004,49.24,0.0,16.12,45.28,5.64,16.96,11.36,17.12,6.48,21.36,9.48,17.08,5.84,1.84,18.12,-15.04,0.16,0.84,25
Auburn,2004,70.0,0.03571428571428571,25.0,57.07142857142857,6.607142857142857,19.392857142857142,13.392857142857142,20.214285714285715,14.821428571428571,22.321428571428573,15.321428571428571,15.928571428571429,8.714285714285714,4.785714285714286,16.785714285714285,4.428571428571429,0.5,0.5,28
Austin Peay,2004,64.17857142857143,0.0,22.5,52.17857142857143,5.714285714285714,17.821428571428573,13.464285714285714,19.535714285714285,10.0,24.178571428571427,12.321428571428571,13.607142857142858,6.5,4.107142857142857,17.785714285714285,3.0,0.6785714285714286,0.32142857142857145,28
BYU,2004,72.18518518518519,0.037037037037037035,25.185185185185187,51.74074074074074,5.37037037037037,15.555555555555555,16.444444444444443,22.555555555555557,9.962962962962964,23.444444444444443,14.666666666666666,14.0,7.185185185185185,3.259259259259259,19.11111111111111,6.814814814814815,0.7037037037037037,0.2962962962962963,27
Ball St,2004,70.10714285714286,0.10714285714285714,24.0,57.107142857142854,5.142857142857143,15.178571428571429,16.964285714285715,23.035714285714285,11.75,23.25,12.428571428571429,12.928571428571429,5.75,2.0714285714285716,20.464285714285715,-0.75,0.4642857142857143,0.5357142857142857,28
Baylor,2004,62.333333333333336,0.1111111111111111,21.814814814814813,52.48148148148148,5.777777777777778,18.666666666666668,12.925925925925926,18.555555555555557,12.185185185185185,19.48148148148148,11.62962962962963,15.25925925925926,7.185185185185185,2.6666666666666665,16.37037037037037,-7.925925925925926,0.25925925925925924,0.7407407407407407,27
Belmont,2004,72.32142857142857,0.17857142857142858,24.714285714285715,54.57142857142857,9.714285714285714,27.321428571428573,13.178571428571429,19.035714285714285,9.785714285714286,23.357142857142858,16.392857142857142,14.357142857142858,8.642857142857142,2.357142857142857,17.785714285714285,6.821428571428571,0.7142857142857143,0.2857142857142857,28
Bethune-Cookman,2004,59.0,0.10344827586206896,20.896551724137932,53.41379310344828,6.068965517241379,19.24137931034483,11.137931034482758,15.931034482758621,10.724137931034482,21.24137931034483,10.551724137931034,15.89655172413793,8.310344827586206,2.103448275862069,18.344827586206897,-7.862068965517241,0.27586206896551724,0.7241379310344828,29
Binghamton,2004,60.06666666666667,0.03333333333333333,21.0,51.63333333333333,5.366666666666666,16.933333333333334,12.7,19.866666666666667,11.9,23.333333333333332,10.466666666666667,16.966666666666665,6.733333333333333,5.233333333333333,18.8,-2.7666666666666666,0.4666666666666667,0.5333333333333333,30
Birmingham So,2004,72.32,0.04,24.28,50.84,8.72,20.12,15.04,21.64,10.88,23.76,14.92,15.88,7.36,3.0,19.56,6.52,0.72,0.28,25
Boise St,2004,72.42857142857143,0.03571428571428571,25.035714285714285,56.67857142857143,6.75,19.428571428571427,15.607142857142858,21.107142857142858,11.357142857142858,22.571428571428573,13.428571428571429,12.821428571428571,6.464285714285714,2.892857142857143,17.357142857142858,5.035714285714286,0.6785714285714286,0.32142857142857145,28
Boston College,2004,68.75,0.125,24.25,53.46875,3.75,11.75,16.5,24.3125,12.8125,23.71875,15.90625,13.375,7.03125,3.03125,15.90625,5.0,0.71875,0.28125,32
Boston Univ,2004,67.07142857142857,0.07142857142857142,24.107142857142858,55.607142857142854,6.142857142857143,18.392857142857142,12.714285714285714,18.357142857142858,11.607142857142858,23.428571428571427,14.571428571428571,12.142857142857142,7.892857142857143,3.6785714285714284,18.642857142857142,8.285714285714286,0.8214285714285714,0.17857142857142858,28
Bowling Green,2004,69.89655172413794,0.06896551724137931,23.0,51.6551724137931,6.586206896551724,17.82758620689655,17.310344827586206,22.517241379310345,10.448275862068966,23.20689655172414,14.689655172413794,16.24137931034483,5.275862068965517,3.7241379310344827,24.137931034482758,-1.7586206896551724,0.41379310344827586,0.5862068965517241,29
Bradley,2004,65.9,0.06666666666666667,21.3,52.733333333333334,6.2,18.8,17.1,23.6,10.7,23.1,12.166666666666666,15.633333333333333,7.233333333333333,1.8666666666666667,21.7,-2.0,0.5,0.5,30
Brown,2004,71.57692307692308,0.07692307692307693,25.46153846153846,56.96153846153846,7.730769230769231,20.884615384615383,12.923076923076923,18.384615384615383,8.961538461538462,23.423076923076923,15.576923076923077,15.23076923076923,8.923076923076923,3.1538461538461537,18.423076923076923,-1.2307692307692308,0.5,0.5,26
Bucknell,2004,63.96296296296296,0.037037037037037035,22.77777777777778,49.2962962962963,4.814814814814815,15.962962962962964,13.592592592592593,20.555555555555557,9.851851851851851,23.22222222222222,12.703703703703704,16.37037037037037,8.333333333333334,2.185185185185185,19.555555555555557,2.4444444444444446,0.4444444444444444,0.5555555555555556,27
Buffalo,2004,75.0,0.0,26.586206896551722,57.55172413793103,6.448275862068965,17.03448275862069,15.379310344827585,22.862068965517242,12.724137931034482,23.06896551724138,13.206896551724139,15.03448275862069,8.0,2.8620689655172415,21.82758620689655,3.5517241379310347,0.5862068965517241,0.41379310344827586,29
Butler,2004,62.206896551724135,0.20689655172413793,21.482758620689655,51.89655172413793,8.137931034482758,23.79310344827586,11.10344827586207,14.586206896551724,9.655172413793103,19.93103448275862,11.206896551724139,10.241379310344827,5.344827586206897,1.9655172413793103,18.896551724137932,1.8275862068965518,0.5172413793103449,0.4827586206896552,29
C Michigan,2004,68.6896551724138,0.034482758620689655,23.93103448275862,55.86206896551724,7.241379310344827,20.379310344827587,13.586206896551724,20.103448275862068,9.96551724137931,21.448275862068964,14.10344827586207,17.275862068965516,6.0344827586206895,1.896551724137931,22.310344827586206,-10.89655172413793,0.1724137931034483,0.8275862068965517,29
CS Fullerton,2004,70.37037037037037,0.14814814814814814,24.51851851851852,58.22222222222222,6.962962962962963,19.0,14.37037037037037,21.037037037037038,14.518518518518519,23.62962962962963,14.25925925925926,15.851851851851851,6.592592592592593,1.7777777777777777,20.88888888888889,-3.2222222222222223,0.37037037037037035,0.6296296296296297,27
CS Northridge,2004,67.48275862068965,0.034482758620689655,23.24137931034483,53.06896551724138,5.689655172413793,16.724137931034484,15.310344827586206,20.96551724137931,10.793103448275861,18.862068965517242,12.310344827586206,16.448275862068964,9.793103448275861,2.206896551724138,21.103448275862068,-1.4482758620689655,0.4482758620689655,0.5517241379310345,29
CS Sacramento,2004,70.15384615384616,0.07692307692307693,23.53846153846154,59.34615384615385,8.038461538461538,22.423076923076923,15.038461538461538,22.307692307692307,12.653846153846153,23.03846153846154,13.0,14.423076923076923,8.153846153846153,2.6923076923076925,22.576923076923077,-1.8076923076923077,0.4230769230769231,0.5769230769230769,26
Cal Poly SLO,2004,70.03846153846153,0.038461538461538464,25.0,56.69230769230769,6.230769230769231,18.692307692307693,13.807692307692308,19.884615384615383,10.307692307692308,23.03846153846154,13.346153846153847,15.038461538461538,7.769230769230769,3.1538461538461537,19.192307692307693,-3.1923076923076925,0.38461538461538464,0.6153846153846154,26
California,2004,66.89285714285714,0.03571428571428571,24.107142857142858,55.142857142857146,4.535714285714286,14.642857142857142,14.142857142857142,22.535714285714285,12.357142857142858,22.785714285714285,13.785714285714286,14.071428571428571,6.178571428571429,2.9285714285714284,19.285714285714285,-0.35714285714285715,0.4642857142857143,0.5357142857142857,28
Campbell,2004,68.81481481481481,0.0,25.14814814814815,63.77777777777778,5.777777777777778,19.296296296296298,12.74074074074074,19.296296296296298,13.62962962962963,23.444444444444443,13.555555555555555,16.962962962962962,7.7407407407407405,1.4074074074074074,21.925925925925927,-16.666666666666668,0.1111111111111111,0.8888888888888888,27
Canisius,2004,68.86206896551724,0.06896551724137931,25.413793103448278,58.55172413793103,7.068965517241379,18.24137931034483,10.96551724137931,17.586206896551722,12.172413793103448,25.0,15.206896551724139,14.827586206896552,6.0344827586206895,2.8620689655172415,18.82758620689655,-3.4482758620689653,0.3448275862068966,0.6551724137931034,29
Centenary,2004,67.76923076923077,0.038461538461538464,23.653846153846153,50.84615384615385,5.115384615384615,14.538461538461538,15.346153846153847,21.5,9.961538461538462,19.846153846153847,11.961538461538462,15.23076923076923,8.615384615384615,2.923076923076923,22.0,-0.038461538461538464,0.5384615384615384,0.46153846153846156,26
Central Conn,2004,70.67857142857143,0.14285714285714285,26.142857142857142,56.5,5.857142857142857,15.642857142857142,12.535714285714286,19.571428571428573,13.142857142857142,21.714285714285715,14.5,15.071428571428571,7.321428571428571,1.9642857142857142,15.964285714285714,1.2857142857142858,0.5,0.5,28
Charleston So,2004,57.61538461538461,0.11538461538461539,21.692307692307693,51.61538461538461,4.8076923076923075,15.73076923076923,9.423076923076923,14.653846153846153,9.807692307692308,21.46153846153846,12.923076923076923,15.538461538461538,6.923076923076923,3.576923076923077,20.115384615384617,-8.26923076923077,0.15384615384615385,0.8461538461538461,26
Charlotte,2004,79.34482758620689,0.1724137931034483,27.137931034482758,60.241379310344826,7.793103448275862,22.689655172413794,17.275862068965516,26.79310344827586,14.758620689655173,26.17241379310345,16.20689655172414,15.310344827586206,8.724137931034482,2.9655172413793105,18.896551724137932,7.896551724137931,0.7241379310344828,0.27586206896551724,29
Chattanooga,2004,78.44444444444444,0.037037037037037035,27.296296296296298,57.03703703703704,7.37037037037037,20.296296296296298,16.48148148148148,22.37037037037037,11.851851851851851,22.555555555555557,16.185185185185187,16.037037037037038,7.62962962962963,2.3703703703703702,17.185185185185187,1.5925925925925926,0.5925925925925926,0.4074074074074074,27
Chicago St,2004,64.93548387096774,0.06451612903225806,23.0,53.483870967741936,4.516129032258065,12.516129032258064,14.419354838709678,20.70967741935484,11.612903225806452,19.258064516129032,11.193548387096774,13.709677419354838,6.870967741935484,2.838709677419355,21.903225806451612,-6.225806451612903,0.3548387096774194,0.6451612903225806,31
Cincinnati,2004,76.9,0.03333333333333333,27.033333333333335,59.1,7.233333333333333,18.8,15.6,23.366666666666667,13.133333333333333,24.133333333333333,16.033333333333335,12.1,7.9,5.066666666666666,19.433333333333334,14.0,0.8,0.2,30
Citadel,2004,56.0,0.0,19.916666666666668,54.708333333333336,6.25,21.541666666666668,9.916666666666666,14.291666666666666,11.5,21.875,10.0,17.375,7.041666666666667,3.1666666666666665,20.625,-16.541666666666668,0.125,0.875,24
Clemson,2004,65.67857142857143,0.07142857142857142,23.178571428571427,53.714285714285715,4.785714285714286,14.928571428571429,14.535714285714286,23.035714285714285,14.214285714285714,23.285714285714285,12.821428571428571,19.178571428571427,6.821428571428571,4.464285714285714,18.642857142857142,-5.25,0.35714285714285715,0.6428571428571429,28
Cleveland St,2004,64.03703703703704,0.0,22.40740740740741,55.2962962962963,5.555555555555555,18.037037037037038,13.666666666666666,21.22222222222222,12.74074074074074,22.37037037037037,11.592592592592593,17.814814814814813,6.703703703703703,3.5925925925925926,21.185185185185187,-10.777777777777779,0.07407407407407407,0.9259259259259259,27
Coastal Car,2004,68.70370370370371,0.07407407407407407,24.666666666666668,57.333333333333336,6.666666666666667,17.88888888888889,12.703703703703704,18.074074074074073,12.62962962962963,24.296296296296298,13.444444444444445,16.333333333333332,7.444444444444445,1.8518518518518519,19.51851851851852,-0.3333333333333333,0.4444444444444444,0.5555555555555556,27
Col Charleston,2004,73.64285714285714,0.03571428571428571,25.428571428571427,57.42857142857143,8.178571428571429,21.892857142857142,14.607142857142858,20.642857142857142,10.464285714285714,25.142857142857142,14.25,14.535714285714286,7.678571428571429,4.428571428571429,18.964285714285715,5.107142857142857,0.6785714285714286,0.32142857142857145,28
Colgate,2004,65.96296296296296,0.07407407407407407,23.14814814814815,54.925925925925924,6.444444444444445,18.333333333333332,13.222222222222221,19.11111111111111,10.851851851851851,22.444444444444443,12.777777777777779,13.592592592592593,6.37037037037037,1.5185185185185186,17.85185185185185,-3.2222222222222223,0.48148148148148145,0.5185185185185185,27
Colorado,2004,74.11111111111111,0.037037037037037035,25.74074074074074,55.629629629629626,6.703703703703703,17.48148148148148,15.925925925925926,25.333333333333332,12.296296296296296,26.333333333333332,13.851851851851851,14.88888888888889,5.814814814814815,5.962962962962963,17.814814814814813,2.7777777777777777,0.6296296296296297,0.37037037037037035,27
Colorado St,2004,69.71428571428571,0.14285714285714285,23.392857142857142,51.535714285714285,4.642857142857143,13.75,18.285714285714285,25.571428571428573,10.25,24.607142857142858,13.321428571428571,17.142857142857142,5.892857142857143,4.892857142857143,23.892857142857142,-2.892857142857143,0.42857142857142855,0.5714285714285714,28
Columbia,2004,67.1923076923077,0.19230769230769232,23.192307692307693,53.53846153846154,7.846153846153846,20.576923076923077,12.961538461538462,18.307692307692307,10.23076923076923,22.692307692307693,15.461538461538462,18.76923076923077,7.269230769230769,1.2692307692307692,23.346153846153847,-4.230769230769231,0.34615384615384615,0.6538461538461539,26
Connecticut,2004,79.0909090909091,0.030303030303030304,30.12121212121212,62.63636363636363,6.393939393939394,15.969696969696969,12.454545454545455,20.21212121212121,15.303030303030303,29.484848484848484,18.242424242424242,13.787878787878787,6.151515151515151,8.727272727272727,16.060606060606062,15.151515151515152,0.8181818181818182,0.18181818181818182,33
Coppin St,2004,61.53125,0.09375,21.0,51.40625,6.5,17.9375,13.03125,19.46875,11.40625,22.875,11.125,15.03125,6.34375,3.28125,17.71875,0.65625,0.5625,0.4375,32
Cornell,2004,70.57692307692308,0.07692307692307693,24.423076923076923,57.65384615384615,6.653846153846154,20.0,15.076923076923077,22.23076923076923,12.923076923076923,24.423076923076923,12.73076923076923,14.76923076923077,8.615384615384615,3.1923076923076925,18.576923076923077,-0.5,0.38461538461538464,0.6153846153846154,26
Creighton,2004,68.35714285714286,0.10714285714285714,23.892857142857142,52.607142857142854,5.928571428571429,15.642857142857142,14.642857142857142,20.928571428571427,10.464285714285714,24.035714285714285,13.678571428571429,13.785714285714286,6.642857142857143,3.857142857142857,17.5,6.892857142857143,0.7142857142857143,0.2857142857142857,28
