Team,Season,Score,Numot,Fgm,Fga,Fgm3,Fga3,Ftm,Fta,Or,Dr,Ast,To,Stl,Blk,Pf,Scorediff,Win,Loss,Count
Abilene Chr,2014,63.14285714,0.142857143,20.33333333,50.14285714,6.666666667,17.85714286,15.80952381,21.19047619,8,20.33333333,10,15,5.761904762,1.476190476,21.57142857,-15.47619048,0.095238095,0.904761905,21
Air Force,2014,64.57142857,0.071428571,22.07142857,51.82142857,7.142857143,21.71428571,13.28571429,19.25,8.714285714,22.85714286,13.39285714,13.46428571,5.285714286,2.964285714,18.89285714,-5.785714286,0.357142857,0.642857143,28
Akron,2014,67.90909091,0.090909091,23.54545455,54.51515152,7.090909091,20.39393939,13.72727273,22.21212121,12.3030303,22.66666667,11.15151515,13.21212121,6.606060606,4.212121212,17.81818182,1.878787879,0.636363636,0.363636364,33
Alabama,2014,66.70967742,0.096774194,22.70967742,51.80645161,5.741935484,17.25806452,15.5483871,22.77419355,9.903225806,22.58064516,10.77419355,11.83870968,6.741935484,4.225806452,19.16129032,-0.548387097,0.387096774,0.612903226,31
Alabama A&M,2014,63.82142857,0.107142857,21.53571429,53.10714286,6.107142857,18.89285714,14.64285714,22.07142857,9.821428571,23.82142857,12.53571429,13.25,6.035714286,4.071428571,21.96428571,-3.285714286,0.428571429,0.571428571,28
Alabama St,2014,69.89285714,0.142857143,24.14285714,58.21428571,5.321428571,18.82142857,16.28571429,23.82142857,13,22.21428571,12.07142857,12.10714286,6.678571429,3.535714286,18.42857143,-0.714285714,0.571428571,0.428571429,28
Albany NY,2014,66.03125,0.09375,22.4375,51.09375,4.90625,13.46875,16.25,21.71875,10.34375,24.21875,11.0625,12.625,5.53125,3.0625,17.25,2.1875,0.5625,0.4375,32
Alcorn St,2014,61.92857143,0.178571429,21.57142857,52.60714286,4.428571429,14.71428571,14.35714286,21.78571429,9.607142857,20.71428571,8.928571429,11.60714286,5.428571429,3.714285714,18.89285714,-6.678571429,0.321428571,0.678571429,28
American Univ,2014,63.9375,0.03125,23.03125,46.5625,6.34375,16.59375,11.53125,16.25,7.125,22.9375,15.125,13.96875,6.03125,3.4375,17.21875,5.3125,0.625,0.375,32
Appalachian St,2014,64.15384615,0.076923077,22.42307692,56,4.653846154,15.84615385,14.65384615,23.03846154,12.80769231,22.11538462,9.807692308,12.57692308,6,2.576923077,20.23076923,-8.192307692,0.192307692,0.807692308,26
Arizona,2014,73.05882353,0.088235294,26.23529412,56,5.294117647,14.85294118,15.29411765,23.35294118,12.58823529,26.29411765,15.08823529,10.44117647,5.882352941,4.235294118,16.44117647,14.91176471,0.882352941,0.117647059,34
