,Season,Wteam,Wscore,Lteam,Lscore,Wscorediff,Lscorediff,WSeed,LSeed,Round
321,2008,1181,71,1125,70,1,-1,Z02,Z15,1
322,2008,1242,85,1340,61,24,-24,X01,X16,1
323,2008,1243,80,1425,67,13,-13,X11,X06,1
324,2008,1266,74,1246,66,8,-8,Y06,Y11,1
325,2008,1277,72,1396,61,11,-11,Y05,Y12,1
326,2008,1323,68,1206,50,18,-18,W05,W12,1
327,2008,1338,82,1331,63,19,-19,Y04,Y13,1
328,2008,1345,90,1124,79,11,-11,Z06,Z11,1
329,2008,1390,77,1165,53,24,-24,Y03,Y14,1
330,2008,1401,67,1140,62,5,-5,Z09,Z08,1
331,2008,1417,70,1290,29,41,-41,Z01,Z16,1
332,2008,1424,71,1245,58,13,-13,X08,X09,1
333,2008,1450,71,1457,40,31,-31,W04,W13,1
334,2008,1452,75,1112,65,10,-10,Z07,Z10,1
335,2008,1458,71,1168,56,15,-15,X03,X14,1
336,2008,1462,73,1208,61,12,-12,Z03,Z14,1
337,2008,1116,86,1231,72,14,-14,W09,W08,1
338,2008,1139,81,1375,61,20,-20,W07,W10,1
339,2008,1172,82,1211,76,6,-6,X10,X07,1
340,2008,1207,66,1420,47,19,-19,X02,X15,1
341,2008,1257,79,1129,61,18,-18,W03,W14,1
342,2008,1272,87,1426,63,24,-24,Y01,Y16,1
343,2008,1274,78,1388,64,14,-14,Y07,Y10,1
344,2008,1280,76,1332,69,7,-7,Y08,Y09,1
345,2008,1314,113,1291,74,39,-39,W01,W16b,1
346,2008,1328,72,1386,64,8,-8,W06,W11,1
347,2008,1360,70,1163,69,1,-1,Z13,Z04,1
348,2008,1373,83,1435,62,21,-21,X13,X04,1
349,2008,1397,72,1110,57,15,-15,W02,W15,1
350,2008,1400,74,1122,54,20,-20,Y02,Y15,1
351,2008,1437,75,1155,69,6,-6,X12,X05,1
352,2008,1443,101,1179,99,2,-2,Z12,Z05,1
353,2008,1242,75,1424,56,19,-19,X01,X08,2
354,2008,1277,65,1338,54,11,-11,Y05,Y04,2
355,2008,1390,82,1266,81,1,-1,Y03,Y06,2
356,2008,1417,51,1401,49,2,-2,Z01,Z09,2
357,2008,1450,61,1323,41,20,-20,W04,W05,2
358,2008,1452,73,1181,67,6,-6,Z07,Z02,2
359,2008,1458,72,1243,55,17,-17,X03,X11,2
360,2008,1462,85,1345,78,7,-7,Z03,Z06,2
361,2008,1172,74,1207,70,4,-4,X10,X02,2
362,2008,1257,78,1328,48,30,-30,W03,W06,2
363,2008,1272,77,1280,74,3,-3,Y01,Y08,2
364,2008,1314,108,1116,77,31,-31,W01,W09,2
365,2008,1397,76,1139,71,5,-5,W02,W07,2
366,2008,1400,75,1274,72,3,-3,Y02,Y07,2
367,2008,1437,84,1373,72,12,-12,X12,X13,2
368,2008,1443,72,1360,63,9,-9,Z12,Z13,2
369,2008,1257,79,1397,60,19,-19,W03,W02,3
370,2008,1314,68,1450,47,21,-21,W01,W04,3
371,2008,1417,88,1443,78,10,-10,Z01,Z12,3
372,2008,1462,79,1452,75,4,-4,Z03,Z07,3
373,2008,1172,73,1458,56,17,-17,X10,X03,3
374,2008,1242,72,1437,57,15,-15,X01,X12,3
375,2008,1272,92,1277,74,18,-18,Y01,Y05,3
376,2008,1400,82,1390,62,20,-20,Y02,Y03,3
377,2008,1314,83,1257,73,10,-10,W01,W03,4
378,2008,1417,76,1462,57,19,-19,Z01,Z03,4
379,2008,1242,59,1172,57,2,-2,X01,X10,4
380,2008,1272,85,1400,67,18,-18,Y01,Y02,4
381,2008,1242,84,1314,66,18,-18,X01,W01,5
382,2008,1272,78,1417,63,15,-15,Y01,Z01,5
383,2008,1242,75,1272,68,7,-7,X01,Y01,6
