,rpi,sos,team_id,year
0,0.6739,13,1242,2011
1,0.6673,30,1326,2011
2,0.6664,45,1361,2011
3,0.6663,20,1140,2011
4,0.6645,37,1181,2011
5,0.6573,1,1207,2011
6,0.6531,27,1338,2011
7,0.6478,21,1400,2011
8,0.6459,25,1345,2011
9,0.6438,6,1196,2011
10,0.6436,12,1314,2011
11,0.6419,32,1323,2011
12,0.6334,11,1246,2011
13,0.6321,29,1458,2011
14,0.6296,9,1163,2011
15,0.6223,3,1452,2011
16,0.6222,35,1393,2011
17,0.6212,18,1257,2011
18,0.6206,73,1112,2011
19,0.6203,15,1435,2011
20,0.6199,7,1385,2011
21,0.6189,55,1281,2011
22,0.6189,24,1437,2011
23,0.6167,127,1429,2011
24,0.6143,47,1401,2011
25,0.6138,4,1243,2011
26,0.6099,69,1462,2011
27,0.6075,102,1206,2011
28,0.6067,76,1330,2011
29,0.6054,42,1424,2011
30,0.6053,85,1153,2011
31,0.6031,2,1397,2011
32,0.5989,108,1396,2011
33,0.5987,70,1449,2011
34,0.5977,65,1412,2011
35,0.5952,88,1379,2011
36,0.5945,56,1272,2011
37,0.592,10,1277,2011
38,0.5919,43,1417,2011
39,0.588,26,1161,2011
40,0.5876,34,1208,2011
41,0.5875,197,1217,2011
42,0.5868,16,1228,2011
43,0.5839,121,1156,2011
44,0.5823,94,1199,2011
45,0.5804,151,1283,2011
46,0.5804,5,1336,2011
47,0.579,36,1278,2011
48,0.5784,96,1455,2011
49,0.5778,81,1139,2011
50,0.6632,25,1393,2012
51,0.6597,41,1246,2012
52,0.6525,1,1277,2012
53,0.6519,7,1314,2012
54,0.6474,3,1181,2012
55,0.6352,18,1242,2012
56,0.6336,11,1326,2012
57,0.6308,20,1266,2012
58,0.6287,9,1124,2012
59,0.6232,107,1281,2012
60,0.6209,6,1199,2012
61,0.6182,10,1257,2012
62,0.6179,13,1207,2012
63,0.6177,22,1276,2012
64,0.6161,62,1455,2012
65,0.6153,39,1424,2012
66,0.6147,35,1231,2012
67,0.6147,23,1272,2012
68,0.6136,58,1396,2012
69,0.6117,5,1435,2012
70,0.6101,56,1379,2012
71,0.607,19,1458,2012
72,0.6068,179,1293,2012
73,0.6041,24,1196,2012
74,0.6032,81,1211,2012
75,0.6021,131,1166,2012
76,0.6019,4,1161,2012
77,0.601,67,1361,2012
78,0.5996,113,1388,2012
79,0.5993,103,1307,2012
80,0.5964,101,1387,2012
81,0.5921,2,1163,2012
82,0.5888,42,1235,2012
83,0.587,32,1104,2012
84,0.5867,222,1217,2012
85,0.5837,127,1253,2012
86,0.5826,91,1143,2012
87,0.5821,45,1323,2012
88,0.5802,187,1433,2012
89,0.5789,30,1462,2012
90,0.5783,87,1153,2012
91,0.578,163,1233,2012
92,0.5777,14,1267,2012
93,0.5759,33,1345,2012
94,0.5756,94,1438,2012
95,0.5755,70,1243,2012
96,0.575,21,1301,2012
97,0.5747,15,1400,2012
98,0.5746,110,1140,2012
99,0.5744,184,1325,2012
100,0.6691,1,1181,2013
101,0.6627,2,1307,2013
102,0.6573,6,1257,2013
103,0.6476,7,1274,2013
104,0.6411,29,1242,2013
105,0.6368,96,1211,2013
106,0.6339,11,1231,2013
107,0.6332,4,1277,2013
108,0.6332,16,1196,2013
109,0.6315,20,1207,2013
110,0.6312,15,1326,2013
111,0.6258,14,1266,2013
112,0.6249,5,1393,2013
113,0.6225,83,1272,2013
114,0.6219,28,1112,2013
115,0.6184,47,1387,2013
116,0.6157,68,1276,2013
117,0.6141,8,1314,2013
118,0.6137,74,1125,2013
119,0.6133,31,1139,2013
120,0.613,58,1243,2013
121,0.6126,21,1424,2013
122,0.6111,59,1161,2013
123,0.6084,33,1433,2013
124,0.6046,95,1166,2013
125,0.6045,52,1329,2013
126,0.6041,18,1417,2013
127,0.6032,135,1292,2013
128,0.6009,25,1361,2013
129,0.6004,100,1388,2013
130,0.5997,13,1458,2013
131,0.5996,39,1301,2013
132,0.5987,3,1278,2013
133,0.5983,66,1379,2013
134,0.5963,38,1281,2013
135,0.5956,62,1323,2013
136,0.5931,19,1160,2013
137,0.593,102,1455,2013
138,0.5921,9,1228,2013
139,0.591,81,1247,2013
140,0.5901,63,1396,2013
141,0.59,26,1328,2013
142,0.5891,82,1338,2013
143,0.5883,70,1129,2013
144,0.5874,42,1235,2013
145,0.587,125,1332,2013
146,0.5865,136,1279,2013
147,0.5865,132,1103,2013
148,0.5857,32,1163,2013
149,0.5855,24,1153,2013
150,0.6701,22,1196,2014
151,0.6664,5,1112,2014
152,0.656,1,1242,2014
153,0.6437,111,1455,2014
154,0.6406,51,1437,2014
155,0.6382,3,1458,2014
156,0.6346,6,1181,2014
157,0.6344,29,1235,2014
158,0.6333,26,1438,2014
159,0.628,30,1166,2014
160,0.6276,9,1276,2014
161,0.622,28,1433,2014
162,0.6204,76,1393,2014
163,0.6201,16,1417,2014
164,0.6187,45,1307,2014
165,0.6173,2,1246,2014
166,0.617,107,1361,2014
167,0.6156,27,1277,2014
168,0.6125,96,1257,2014
169,0.6123,74,1153,2014
170,0.6116,48,1269,2014
171,0.6114,100,1211,2014
172,0.6087,34,1163,2014
173,0.6079,14,1326,2014
174,0.6061,15,1314,2014
175,0.6057,68,1387,2014
176,0.6041,19,1328,2014
177,0.604,18,1332,2014
178,0.6012,80,1203,2014
179,0.5987,10,1124,2014
180,0.5964,13,1160,2014
181,0.5961,17,1140,2014
182,0.5961,127,1379,2014
183,0.5952,33,1272,2014
184,0.5944,60,1386,2014
185,0.5928,118,1295,2014
186,0.5918,65,1400,2014
187,0.5896,166,1405,2014
188,0.5875,66,1338,2014
189,0.5835,21,1390,2014
190,0.5835,11,1397,2014
191,0.5824,52,1173,2014
192,0.5822,75,1344,2014
193,0.581,58,1113,2014
194,0.5804,43,1329,2014
195,0.5782,244,1217,2014
196,0.5776,72,1281,2014
197,0.5776,40,1462,2014
198,0.5775,32,1304,2014
199,0.5754,7,1278,2014
200,0.6731,45,1246,2015
201,0.663,16,1458,2015
202,0.663,1,1242,2015
203,0.6613,52,1437,2015
204,0.6585,11,1181,2015
205,0.6563,38,1112,2015
206,0.6533,25,1438,2015
207,0.6349,84,1211,2015
208,0.6288,13,1235,2015
209,0.6258,3,1124,2015
210,0.6234,2,1314,2015
211,0.6227,55,1268,2015
212,0.6201,42,1374,2015
213,0.6163,9,1433,2015
214,0.6153,142,1320,2015
215,0.6118,94,1323,2015
216,0.6099,120,1455,2015
217,0.6098,17,1328,2015
218,0.6093,41,1116,2015
219,0.6083,32,1428,2015
220,0.6069,22,1257,2015
221,0.6041,7,1277,2015
222,0.6035,5,1344,2015
223,0.6021,39,1452,2015
224,0.5998,12,1207,2015
225,0.5947,48,1332,2015
226,0.5946,79,1361,2015
227,0.5929,119,1161,2015
228,0.5926,67,1138,2015
229,0.591,10,1462,2015
230,0.5902,44,1139,2015
231,0.5885,113,1173,2015
232,0.5871,122,1172,2015
233,0.5851,61,1396,2015
234,0.5846,193,1372,2015
235,0.5812,30,1385,2015
236,0.5811,33,1208,2015
237,0.5796,75,1140,2015
238,0.5789,74,1326,2015
239,0.5785,6,1301,2015
240,0.5784,56,1153,2015
241,0.5771,15,1400,2015
242,0.5767,28,1234,2015
243,0.5762,130,1129,2015
244,0.5743,146,1330,2015
245,0.5709,18,1329,2015
246,0.5701,105,1409,2015
247,0.5693,238,1459,2015
248,0.5692,29,1417,2015
249,0.5672,278,1434,2015
250,0.6683,8,1242,2016
251,0.656,2,1332,2016
252,0.6532,1,1438,2016
253,0.6455,20,1437,2016
254,0.642,29,1314,2016
255,0.637,17,1328,2016
256,0.6341,47,1462,2016
257,0.6333,19,1274,2016
258,0.633,7,1428,2016
259,0.6273,30,1246,2016
260,0.6272,66,1277,2016
261,0.6257,24,1452,2016
262,0.6196,76,1374,2016
263,0.6147,34,1268,2016
264,0.6134,35,1345,2016
265,0.6127,14,1143,2016
266,0.6122,36,1257,2016
267,0.607,63,1401,2016
268,0.6059,10,1181,2016
269,0.6055,59,1386,2016
270,0.6046,49,1173,2016
271,0.6034,56,1371,2016
272,0.6031,12,1235,2016
273,0.5992,100,1231,2016
274,0.5974,3,1124,2016
275,0.5968,101,1112,2016
276,0.5949,4,1400,2016
277,0.5914,32,1234,2016
278,0.59,13,1333,2016
279,0.5896,87,1382,2016
280,0.5885,147,1355,2016
281,0.5874,26,1323,2016
282,0.5863,6,1403,2016
283,0.5855,53,1160,2016
284,0.5853,48,1163,2016
285,0.5845,135,1103,2016
